City	City coordinate location	City GeoNames ID	City QID	County	GeoNames ID	County QID
Davis	38.553888888889,-121.73805555556	5341704	Q668546	Yolo County	5410882	Q109709
Delano	35.768888888889,-119.24694444444	5342485	Q775868	Kern County	5362932	Q108047
Del Rey Oaks	36.593333333333,-121.835	5342441	Q2258788	Monterey County	5374376	Q108072
Desert Hot Springs	33.961111111111,-116.50805555556	5342710	Q573096	Riverside County	5387890	Q108111
Dinuba	36.545,-119.39	5343171	Q986906	Tulare County	5403789	Q109686
Dixon	38.449108,-121.826872	5343303	Q986903	Solano County	5396987	Q108083
Dos Palos	36.985002777778,-120.62438888889	5343728	Q986878	Merced County	5372259	Q109690
Downey	33.938055555556,-118.13083333333	5343858	Q488946	Los Angeles County	5368381	Q104994
Downieville	39.5675,-120.81222222222	5343876	Q2261383	Sierra County	5395582	Q156370
East Palo Alto	37.47,-122.13	5345032	Q988697	San Mateo County	5392427	Q108101
El Cajon	32.798333333333,-116.96	5345529	Q369947	San Diego County	5391832	Q108143
El Centro	32.792,-115.5630514	5345609	Q495369	Imperial County	5359067	Q169952
El Cerrito	37.915833333333,-122.31166666667	5345623	Q996569	Contra Costa County	5339268	Q108058
Elk Grove	38.438333333333,-121.38194444444	5346111	Q671314	Sacramento County	5389519	Q108131
El Monte	34.073333333333,-118.0275	5345743	Q595550	Los Angeles County	5368381	Q104994
El Segundo	33.919147222222,-118.41553611111	5345860	Q983859	Los Angeles County	5368381	Q104994
Emeryville	37.831388888889,-122.28527777778	5346462	Q499178	Alameda County	5322745	Q107146
Escalon	37.791666666667,-120.99166666667	5346811	Q3057873	San Joaquin County	5392126	Q108499
Escondido	33.124722,-117.080833	5346827	Q372454	San Diego County	5391832	Q108143
Etna	41.457222222222,-122.89694444444	5563382	Q542603	Siskiyou County	5571369	Q156374
Eureka	40.801944444444,-124.16361111111	5563397	Q488702	Humboldt County	5565500	Q109651
Exeter	36.294166666667,-119.14277777778	5347239	Q986815	Tulare County	5403789	Q109686
Fairfax	37.987222222222,-122.58888888889	5347322	Q2108879	Marin County	5370468	Q108117
Fairfield	38.257777777778,-122.05416666667	5347335	Q323432	Solano County	5396987	Q108083
Farmersville	36.301111111111,-119.2075	5347742	Q986808	Tulare County	5403789	Q109686
Ferndale	40.576666666667,-124.26333333333	5563573	Q3069604	Humboldt County	5565500	Q109651
Firebaugh	36.858888888889,-120.45611111111	5348299	Q1705364	Fresno County	5350964	Q271915
